Estudo; Renda;UF;SEXO;Idade;Altura
1;R$ 220;RN;F;50;1,88
16;R$ 3.500;SC;M;45;1,88
4;R$ 2.200;RJ;F;22;1,88
1;R$ 788;SE;M;53;1,88
16;R$ 12.000;PR;M;73;1,88
15;R$ 2.500;PR;M;33;1,88
8;R$ 1.000;MA;M;17;1,88
16;R$ 10.000;PB;F;38;1,88
5;R$ 1.600;RS;M;45;1,88
9;R$ 900;MT;M;17;1,88
9;R$ 150;MA;F;58;1,88
10;R$ 1.000;PR;M;49;1,88
5;R$ 1.300;DF;M;63;1,88
5;R$ 1.350;MS;F;50;1,88
16;R$ 2.000;RJ;F;53;1,88
11;R$ 400;SP;F;32;1,88
1;R$ 3.000;AC;M;65;1,88
5;R$ 850;MG;F;58;1,88
16;R$ 2.000;SP;F;64;1,88
12;R$ 7.000;RS;M;64;1,88
12;R$ 8.000;RS;M;55;1,88
16;R$ 2.100;GO;F;39;1,88
16;R$ 10.000;GO;M;44;1,88
6;R$ 1.300;RO;M;40;1,88
12;R$ 788;RJ;F;42;1,88
16;R$ 3.000;RJ;F;38;1,88
12;R$ 970;MG;F;40;1,88
5;R$ 1.200;RS;F;48;1,88
1;R$ 788;MA;M;44;1,88
8;R$ 3.600;SC;M;50;1,88
6;R$ 1.500;PR;M;60;1,88
17;R$ 180;PE;M;16;1,88
8;R$ 700;SP;M;29;1,88
9;R$ 1.100;MG;M;26;1,88
4;R$ 850;BA;M;51;1,88
12;R$ 2.200;RJ;M;58;1,88
